timestamp,temperature,humidity,co2,message
2026-06-27 00:36:01,31.4,63.911,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:06,31.4,63.938,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:11,31.4,63.956,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:16,31.4,63.939,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:21,31.4,63.928,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:26,31.4,63.919,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:31,31.4,63.914,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:36,31.4,63.879,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:41,31.4,63.856,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:46,31.4,63.839,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:51,31.4,63.827,395.0,Vzduch je dobry. [OK]
2026-06-27 00:36:56,31.4,63.819,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:01,31.4,63.813,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:06,31.4,63.809,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:11,31.4,63.807,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:16,31.4,63.805,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:21,31.4,63.803,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:26,31.4,63.802,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:31,31.4,63.802,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:36,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:41,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:46,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:51,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:37:56,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:01,31.4,63.8,395.0,Vzduch sa zhorsuje. [OK]
2026-06-27 00:38:06,31.4,63.8,395.0,Vzduch je dobry. [OK_RISING]
2026-06-27 00:38:11,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:16,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:21,31.4,63.83,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:26,31.4,63.851,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:31,31.4,63.866,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:36,31.4,63.876,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:42,31.4,63.883,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:46,31.4,63.888,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:51,31.4,63.892,395.0,Vzduch je dobry. [OK]
2026-06-27 00:38:56,31.4,63.894,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:01,31.4,63.866,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:07,31.4,63.846,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:11,31.4,63.832,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:16,31.4,63.823,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:21,31.4,63.846,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:26,31.4,63.862,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:31,31.4,63.873,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:37,31.4,63.881,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:41,31.4,63.857,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:46,31.4,63.84,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:51,31.4,63.828,395.0,Vzduch je dobry. [OK]
2026-06-27 00:39:56,31.4,63.82,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:01,31.4,63.814,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:06,31.4,63.81,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:11,31.4,63.807,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:17,31.4,63.805,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:21,31.4,63.803,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:27,31.4,63.802,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:31,31.4,63.802,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:36,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:41,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:47,31.4,63.801,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:52,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:40:56,31.4,63.8,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:02,31.4,63.77,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:07,31.4,63.749,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:12,31.4,63.734,395.0,Vzduch sa zhorsuje. [OK]
2026-06-27 00:41:17,31.4,63.724,395.0,Vzduch je dobry. [OK_RISING]
2026-06-27 00:41:22,31.4,63.717,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:27,31.4,63.712,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:31,31.4,63.708,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:36,31.4,63.706,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:42,31.4,63.674,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:47,31.4,63.652,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:52,31.4,63.636,395.0,Vzduch je dobry. [OK]
2026-06-27 00:41:57,31.4,63.625,395.0,Vzduch je dobry. [OK]
